message_key,ru_text,en_text,component,render_condition,mapping_state,scope,shown_after_manual_confirmation,accurate,duplicate_of,potentially_misleading,notes
recording.mappingFailureTitle,Почему автосопоставление не выполнено,Why automatic matching was not completed,mapping failure block,mappingFailureReason exists,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureCompactTitle,Требуется ручное сопоставление,Manual matching required,compact failure chip,mapping failure exists,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureCompact.noAudioActivity,"Требуется ручное сопоставление: нет телеметрии микрофона.","Manual matching required: no microphone telemetry.",compact status,mappingFailureReason unavailable:no_audio_activity,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureCompact.generic,Требуется ручное сопоставление. Откройте детали причины.,Manual matching required. Open details for the exact reason.,compact status,mappingFailureReason generic,REQUIRED/NEEDS_REVIEW,global,no,partial,,true,can hide specific actionable reason
recording.mappingFailureReason.unavailableNoAudioActivity,Автосопоставление не выполнено: не получена телеметрия активности микрофона. Назначьте говорящих вручную.,Automatic speaker matching was not completed: microphone activity telemetry was not received. Assign speakers manually.,review card details,reason mapping from diagnostics,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.manyToOne,Автосопоставление не выполнено: оба спикера совпали с одним участником. Требуется ручная проверка.,Automatic speaker matching was not completed: multiple speakers matched the same participant. Manual review is required.,review card details,safety failure reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.lowCoverage,Автосопоставление не выполнено: недостаточно совпадений между речью и активностью микрофона.,Automatic speaker matching was not completed: there was not enough overlap between speech and microphone activity.,review card details,coverage review reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.lowMargin,Автосопоставление не выполнено: низкая уверенность сопоставления.,Automatic speaker matching was not completed: matching confidence is too low.,review card details,low margin reason,REQUIRED,global,no,true,,false,
recording.mappingFailureReason.missingOffsets,Автосопоставление не выполнено: отсутствуют тайминги активности микрофона.,Automatic speaker matching was not completed: microphone activity timing data is missing.,review card details,offset review reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.telemetryImbalanced,Автосопоставление не выполнено: телеметрия активности участников несбалансирована.,Automatic speaker matching was not completed: participant activity telemetry is imbalanced.,review card details,quality review reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.noSafeOneToOne,Автосопоставление не выполнено: не найдено безопасное соответствие Speaker ↔ участник.,Automatic speaker matching was not completed: no safe Speaker-to-participant match was found.,review card details,safety reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.manualReviewRequired,Требуется ручное назначение говорящих.,Manual speaker assignment is required.,review card details,generic manual review reason,NEEDS_REVIEW,global,no,true,,false,
recording.mappingFailureReason.unknownMappingFailure,Автосопоставление не выполнено. Назначьте говорящих вручную.,Automatic speaker matching was not completed. Assign speakers manually.,review card details,fallback unknown reason,REQUIRED/NEEDS_REVIEW,global,no,partial,,true,can read as full failure although suggestion may exist
recording.confirmSpeakersTitle,Подтвердите говорящих,Confirm speakers,assisted review card,review mode REVIEW_CARD,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.confirmSpeakersDescription,Система не уверена в автосопоставлении. Проверьте предложенное соответствие.,The system is not confident enough to apply speaker mapping automatically. Review the suggested assignment.,assisted review card,review mode REVIEW_CARD,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.suggested,Предложено,Suggested,assisted review card,suggested participant exists,REQUIRED/NEEDS_REVIEW,label,no,true,,false,
recording.confidenceHigh,Высокая,High,assisted review card,confidence level HIGH,review card,label,no,true,,false,
recording.confidenceMedium,Средняя,Medium,assisted review card,confidence level MEDIUM,review card,label,no,true,,false,
recording.confidenceLow,Низкая,Low,assisted review card,confidence level LOW,review card,label,no,true,,false,
recording.speakerMappingSaved,Сопоставление сохранено,Speaker mapping saved,toast/message,successful save/confirm,AUTO_SUGGESTED/CONFIRMED/PARTIAL,global,yes,true,,false,
recording.speakerMappingCanChangeLater,Сопоставление можно изменить позже,You can change speaker mapping later,auto-applied note and skip action,showAutoAppliedNote or skip action,AUTO_SUGGESTED,global,yes,true,,false,
recording.speakerMappingAutoAppliedCompact,Сопоставление применено автоматически.,Speaker mapping was applied automatically.,auto-applied note,reviewMode AUTO_APPLIED_NOTE,AUTO_SUGGESTED,global,yes,true,,false,
recording.mappingRequiredShort,требуется сопоставление,mapping required,diarized row subtitle,turn has no mapped participant name,REQUIRED/NEEDS_REVIEW/PARTIAL,segment,no,true,,false,raw label remains visible with suffix
recording.rawSpeakerPrefix,raw:,raw:,diarized row subtitle,mapped name shown with raw technical label,AUTO_SUGGESTED/CONFIRMED,segment,yes,true,,false,
room.autoMappingUnavailable,Автоматическое сопоставление требует таймкодов транскрипта.,Automatic mapping requires transcript timestamps.,speaker-mapping-panel,suggestion unavailable=no_timestamps,REQUIRED,global,no,true,recording.autoMappingRequiresTimestamps,false,duplicate key namespace
room.autoMappingFutureOnly,Автоматическое сопоставление будет доступно для будущих сессий после сбора данных активности микрофона.,Automatic mapping will be available for future sessions after microphone activity data is collected.,speaker-mapping-panel,suggestion unavailable!=no_timestamps,REQUIRED,global,no,partial,recording.autoMappingFutureSessionsOnly,true,generic
